Name,Year,Countries,Languages,domestic_gross,domestic_percentage,foreign_gross,foreign_percentage,worldwide_gross
dangal,2016,india,hindi,80955,0.2658250988142292,223588,0.7341749011857708,304544
baahubali 2: the conclusion,2017,india,telugu tamil,209013,0.7825582679774661,58076,0.21744173202253397,267089
rrr *,2022,india,telugu,116041,0.7173252279635258,45728,0.2826747720364742,161770
k.g.f: chapter 2,2022,india,kannada,123909,0.8228571428571428,26674,0.17714285714285713,150583
pathaan,2023,india,hindi,79848,0.6229458250023803,48330,0.37705417499761973,128179
bajrangi bhaijaan,2015,india,hindi,70655,0.45915376676986586,83226,0.5408462332301341,153882
secret superstar,2017,india,hindi,11989,0.08406594543160334,130635,0.9159340545683967,142625
pk,2014,india,hindi,75939,0.6148021145877982,47579,0.38519788541220173,123518
sultan,2016,india,hindi,62788,0.6694527778223412,31002,0.3305472221776587,93790
2 . 0,2018,india,tamil,34671,0.39195161290322583,53786,0.6080483870967742,88457
sanju,2018,india,hindi,62653,0.7483002470818778,21074,0.2516997529181222,83728
padmaavat,2018,india,hindi,55267,0.6772439595790063,26338,0.32275604042099376,81606
tiger zinda hai,2017,india,hindi,64142,0.7695929203539823,19203,0.2304070796460177,83345
dhoom 3,2013,india,hindi,64424,0.6554856115107913,33860,0.3445143884892086,98285
war,2019,india,hindi,53766,0.7959200841219769,13786,0.20407991587802313,67552
3 idiots,2009,india,hindi,58227,0.6127826086956522,36794,0.38721739130434785,95021
andhadhun,2018,india,hindi,13643,0.20930639760117314,51542,0.7906936023988268,65186
adipurush,2023,india,telugu hindi,32950,0.6,21967,0.4,54918
brahmāstra: part one – shiva,2022,india,,37674,0.7110904872389792,15306,0.2889095127610209,52980
chennai express,2013,india,,55764,0.7430630800395722,19282,0.2569369199604278,75046
saaho,2019,india,telugu hindi,24176,0.4051904761904762,35490,0.5948095238095238,59667
kick,2014,india,hindi,51662,0.8010199004975125,12833,0.19898009950248757,64495
simmba,2018,india,hindi,43956,0.7698593168245083,13140,0.23014068317549174,57096
krrish 3,2013,india,hindi,60132,0.8647583699824593,9404,0.13524163001754075,69536
prem ratan dhan payo,2015,india,hindi,46353,0.7513642915980231,15339,0.24863570840197693,61692
happy new year,2014,india,hindi,45233,0.7359436178543461,16229,0.26405638214565386,61463
kabir singh,2019,india,hindi,47057,0.8739380507624928,6787,0.12606194923750724,53845
dilwale,2015,india,hindi,32802,0.548122595197028,27043,0.451877404802972,59845
tanhaji - the unsung warrior,2020,india,hindi,43571,0.9052087583299333,4562,0.09479124167006664,48134
uri - the surgical strike,2019,india,hindi,41153,0.8052706196313902,9951,0.1947293803686098,51105
bajirao mastani,2015,india,hindi,40627,0.7194117150811282,15845,0.2805882849188718,56472
drishyam 2,2021,india,hindi,38401,0.8299087088827706,7870,0.1700912911172294,46271
ponniyin selvan: ii,2023,india,tamil,0,,0,,0
the kashmir files,2022,india,hindi,36574,0.8727267394110054,5333,0.12727326058899463,41907
bang bang!,2014,india,hindi,40338,0.7395,14209,0.2605,54548
thugs of hindostan,2018,india,hindi,27654,0.5785970149253732,20141,0.4214029850746268,47795
ek tha tiger,2012,india,hindi,51661,0.8256227758007118,10911,0.17437722419928825,62572
bharat,2019,india,hindi,35696,0.7717611646907058,10556,0.22823883530929417,46253
hindi medium,2017,india,hindi,0,,0,,0
yeh jawaani hai deewani,2013,india,hindi,46296,0.8194618272841051,10199,0.18053817271589487,56496
good newwz,2019,india,hindi,34693,0.7665819129233763,10564,0.23341808707662365,45257
golmaal again,2017,india,hindi,38901,0.8474516357092358,7002,0.15254836429076418,45903
raees,2017,india,hindi,28173,0.6180906148867313,17408,0.3819093851132686,45581
toilet - ek prem katha,2017,india,hindi,27499,0.6052204402311537,17937,0.39477955976884627,45437
race 3,2018,india,hindi,30436,0.6994426229508197,13078,0.30055737704918034,43515
the kerala story,2023,india,hindi,35187,0.9485475540349375,1908,0.05145244596506249,37096
sooryavanshi,2021,india,hindi,31290,0.7911905327048929,8258,0.2088094672951071,39548
mission mangal,2019,india,hindi,33925,0.8217763859733647,7357,0.17822361402663534,41282
housefull 4,2019,india,hindi,32912,0.8265957826381704,6904,0.17340421736182968,39816
bhool bhulaiyaa 2,2022,india,hindi,27207,0.8293240407673861,5599,0.17067595923261392,32806
tanu weds manu returns,2015,india,hindi,33260,0.8203681942812378,7282,0.17963180571876225,40543
baaghi 2,2018,india,hindi,30067,0.8286085007667204,6219,0.1713914992332796,36286
dabangg 2,2012,india,hindi,40284,0.849096789461229,7159,0.150903210538771,47443
bodyguard,2011,india,hindi,44300,0.8172259773113562,9907,0.18277402268864382,54208
ae dil hai mushkil,2016,india,hindi,23505,0.6518129094171152,12556,0.3481870905828848,36062
gully boy,2019,india,hindi,23523,0.6952468928451462,10311,0.30475310715485376,33834
jab tak hai jaan,2012,india,hindi,31409,0.7122549435627599,12688,0.2877450564372401,44098
dabangg 3,2019,india,hindi,24710,0.7532152600355086,8096,0.2467847399644914,32807
total dhamaal,2019,india,hindi,25868,0.7976957112191703,6560,0.20230428878082973,32429
my name is khan,2010,india,hindi,25062,0.5129341210168278,23798,0.4870658789831722,48860
airlift,2016,india,hindi,26770,0.8026345468489194,6582,0.19736545315108053,33353
badhaai ho,2018,india,hindi,25170,0.7966943641618496,6423,0.2033056358381504,31593
dabangg,2010,india,hindi,42180,0.8722528714841276,6177,0.12774712851587242,48357
singham returns,2014,india,hindi,31334,0.8857596371882086,4041,0.11424036281179138,35376
tu jhoothi main makkaar,2023,india,hindi,21654,0.8061790095411177,5206,0.19382099045888232,26861
rustom,2016,india,hindi,26643,0.8118008435723455,6176,0.1881991564276545,32819
judwaa 2,2017,india,hindi,26214,0.8161194029850747,5906,0.18388059701492537,32121
chhichhore,2019,india,hindi,25891,0.8460609999535769,4710,0.1539390000464231,30602
m.s. dhoni - the untold story,2016,india,hindi,27803,0.8578458681522748,4607,0.14215413184772516,32410
hichki,2018,india,hindi,8451,0.27515095215977703,22265,0.724849047840223,30717
tubelight,2017,india,hindi,24434,0.7845031732499762,6711,0.2154968267500238,31146
gangubai kathiawadi,2022,india,hindi,18892,0.7326595795394957,6893,0.2673404204605044,25786
don 2,2011,india,hindi,31757,0.7072774994034836,13143,0.29272250059651633,44900
super 30,2019,india,hindi,24558,0.8274063083329345,5122,0.17259369166706554,29681
kaabil,2017,india,hindi,21274,0.6928990102815413,9429,0.3071009897184587,30703
goliyon ki raasleela ram-leela,2013,india,hindi,28561,0.7792890560941493,8089,0.22071094390585067,36650
kesari,2019,india,hindi,25898,0.880293592157999,3521,0.11970640784200107,29420
ra.one,2011,india,hindi,34013,0.7783280215739152,9687,0.22167197842608483,43700
rowdy rathore,2012,india,hindi,34631,0.9099267417277154,3428,0.09007325827228467,38059
dream girl,2019,india,hindi,24060,0.8434262948207173,4466,0.15657370517928276,28526
badrinath ki dulhania,2017,india,hindi,23906,0.808480917934647,5663,0.19151908206535295,29569
jolly llb 2,2017,india,hindi,23971,0.8234519104084321,5139,0.17654808959156784,29110
raazi,2018,india,hindi,22652,0.8110855683269477,5276,0.18891443167305236,27928
jai ho,2014,india,hindi,25847,0.826035684987695,5443,0.17396431501230505,31291
housefull 3,2016,india,hindi,22807,0.7794117647058825,6455,0.22058823529411753,29262
83,2021,india,hindi,17405,0.669953027409281,8574,0.330046972590719,25979
pad man,2018,india,hindi,14966,0.5464964834592342,12419,0.4535035165407658,27386
agneepath,2012,india,hindi,29887,0.8394828129927467,5714,0.16051718700725323,35602
ghajini,2008,india,hindi,36389,0.8368835562133307,7092,0.16311644378666937,43481
barfi!,2012,india,hindi,29146,0.826927160755999,6100,0.17307283924400096,35247
ready,2011,india,hindi,35646,0.8943124395226321,4212,0.1056875604773679,39858
zero,2018,india,hindi,16513,0.6222580645161291,10024,0.37774193548387097,26537
kisi ka bhai kisi ki jaan,2023,india,hindi,16058,0.7212234159175621,6206,0.27877658408243794,22265
fan,2016,india,hindi,17575,0.6406515658421542,9858,0.35934843415784573,27434
holiday - a soldier is never off duty,2014,india,hindi,25056,0.8607804232804233,4052,0.13921957671957672,29109
talaash,2012,india,hindi,24273,0.7173588453243377,9563,0.2826411546756623,33837
stree,2018,india,hindi,23760,0.9213321531312237,2028,0.07866784686877627,25789
housefull 2,2012,india,hindi,27548,0.821769466927156,5974,0.17823053307284398,33523
2 states,2014,india,hindi,22757,0.7981207449502054,5756,0.20187925504979462,28514
zindagi na milegi dobara,2011,india,hindi,26865,0.7185100286532952,10524,0.2814899713467049,37390
race 2,2013,india,hindi,24661,0.8047415782187355,5983,0.19525842178126454,30645
bala,2019,india,hindi,19755,0.8108927634264389,4607,0.18910723657356113,24362
bhaag milkha bhaag,2013,india,hindi,26743,0.890150623676159,3300,0.1098493763238409,30044
ek villain,2014,india,hindi,23534,0.8648154698738356,3678,0.13518453012616435,27213
golmaal 3,2010,india,hindi,32296,0.8734401797859128,4679,0.12655982021408718,36975
